Image,DICE
126_img_sli_000.npy,0.446617767
126_img_sli_002.npy,0.431182796
126_img_sli_003.npy,0.722080136
126_img_sli_005.npy,0.547394541
126_img_sli_006.npy,0.556447566
126_img_sli_007.npy,0.755890305
126_img_sli_008.npy,0.531394275
126_img_sli_009.npy,0.508239947
126_img_sli_011.npy,0.141765705
126_img_sli_012.npy,0.299587723
126_img_sli_013.npy,0.31085353
126_img_sli_014.npy,0.25188177
126_img_sli_017.npy,0.157575758
126_img_sli_019.npy,0.250609891
126_img_sli_020.npy,0.107313957
126_img_sli_021.npy,0.394384174
127_img_sli_001.npy,0.321715818
128_img_sli_000.npy,0.318287037
128_img_sli_001.npy,0.51751518
128_img_sli_002.npy,0.57532379
128_img_sli_003.npy,0.538008067
128_img_sli_005.npy,0.405091559
128_img_sli_006.npy,0.422805894
128_img_sli_007.npy,0.439528633
128_img_sli_010.npy,0.455385335
128_img_sli_012.npy,0.285792952
128_img_sli_013.npy,0.471132136
128_img_sli_015.npy,0.286235774
128_img_sli_016.npy,0.254294346
129_img_sli_000.npy,0.597343882
129_img_sli_002.npy,0.631693989
129_img_sli_003.npy,0.459581685
129_img_sli_004.npy,0.519474425
129_img_sli_006.npy,0.491081382
12_img_sli_000.npy,0.006417112
12_img_sli_001.npy,0.143198091
12_img_sli_002.npy,0.069510269
12_img_sli_003.npy,0.314855876
12_img_sli_004.npy,0
12_img_sli_005.npy,0.163863266
12_img_sli_006.npy,0.184615385
12_img_sli_007.npy,0.003289474
12_img_sli_008.npy,0.341555977
12_img_sli_009.npy,0.358353511
132_img_sli_000.npy,0.592647422
132_img_sli_003.npy,0.040567951
132_img_sli_004.npy,0.235394214
133_img_sli_001.npy,0.218682114
133_img_sli_002.npy,0.558782849
133_img_sli_003.npy,0.66606983
133_img_sli_004.npy,0.718732315
133_img_sli_005.npy,0.717205795
133_img_sli_006.npy,0.784107946
133_img_sli_008.npy,0.749958793
133_img_sli_009.npy,0.706916764
133_img_sli_010.npy,0.726214722
133_img_sli_011.npy,0.786911202
133_img_sli_012.npy,0.824440144
133_img_sli_014.npy,0.824818809
133_img_sli_015.npy,0.706766917
133_img_sli_016.npy,0.619016393
133_img_sli_017.npy,0.28591208
133_img_sli_018.npy,0.021551724
133_img_sli_019.npy,0
134_img_sli_000.npy,0.317683194
134_img_sli_001.npy,0.23540856
134_img_sli_002.npy,0.40107362
134_img_sli_004.npy,0.306385472
134_img_sli_006.npy,0.269558057
134_img_sli_007.npy,0.342698578
134_img_sli_008.npy,0.468085106
134_img_sli_009.npy,0.421722114
134_img_sli_010.npy,0.573511543
134_img_sli_011.npy,0.41011236
135_img_sli_000.npy,0.411764706
135_img_sli_002.npy,0.798932384
135_img_sli_003.npy,0.824561404
135_img_sli_004.npy,0.559701493
135_img_sli_005.npy,0.555891239
135_img_sli_006.npy,0.458128079
135_img_sli_007.npy,0.681626928
135_img_sli_008.npy,0.461247637
135_img_sli_009.npy,0.620813397
135_img_sli_010.npy,0.5890625
135_img_sli_011.npy,0.553061224
135_img_sli_015.npy,0.390919158
135_img_sli_016.npy,0.406971267
135_img_sli_018.npy,0.462427746
136_img_sli_000.npy,0.262452107
136_img_sli_001.npy,0.558608059
136_img_sli_003.npy,0.280510541
136_img_sli_005.npy,0.550462664
136_img_sli_008.npy,0.535423695
136_img_sli_009.npy,0.510027663
136_img_sli_011.npy,0.183848158
136_img_sli_012.npy,0.018584071
136_img_sli_013.npy,0.099028518
136_img_sli_014.npy,0.038535645
136_img_sli_015.npy,0.548972189
136_img_sli_016.npy,0.010507881
136_img_sli_018.npy,0
137_img_sli_000.npy,0.118043845
137_img_sli_001.npy,0
137_img_sli_002.npy,0.52578362
137_img_sli_003.npy,0.236187845
137_img_sli_004.npy,0.31694696
137_img_sli_005.npy,0.486806677
137_img_sli_006.npy,0.56428258
137_img_sli_008.npy,0.424697811
138_img_sli_000.npy,0.702538631
138_img_sli_001.npy,0.656720916
138_img_sli_002.npy,0.538663993
138_img_sli_003.npy,0.83504542
138_img_sli_005.npy,0.765065622
138_img_sli_007.npy,0.623235006
138_img_sli_008.npy,0.823887461
138_img_sli_009.npy,0.6935577
138_img_sli_010.npy,0.604038804
138_img_sli_012.npy,0.790974616
138_img_sli_013.npy,0.638555707
138_img_sli_014.npy,0.712940742
138_img_sli_015.npy,0.637267081
139_img_sli_000.npy,0.421140589
139_img_sli_001.npy,0.630497592
139_img_sli_004.npy,0.146541138
139_img_sli_006.npy,0.448071217
13_img_sli_000.npy,0.620232172
13_img_sli_001.npy,0.842841765
13_img_sli_002.npy,0.865836791
13_img_sli_003.npy,0.866581957
13_img_sli_005.npy,0.496681416
13_img_sli_007.npy,0.677902622
13_img_sli_008.npy,0.604703247
140_img_sli_000.npy,0.310110005
140_img_sli_001.npy,0.499121265
140_img_sli_002.npy,0.440745145
140_img_sli_003.npy,0.618343722
140_img_sli_004.npy,0.247712878
140_img_sli_005.npy,0.701225259
140_img_sli_006.npy,0.754180903
140_img_sli_007.npy,0.858159912
140_img_sli_008.npy,0.673652695
142_img_sli_001.npy,0.66872428
142_img_sli_002.npy,0.214285714
142_img_sli_003.npy,0.381947743
143_img_sli_001.npy,0.191536748
143_img_sli_002.npy,0.197226502
143_img_sli_003.npy,0.523584906
143_img_sli_004.npy,0.390810668
143_img_sli_005.npy,0.292207792
143_img_sli_006.npy,0.422926308
143_img_sli_007.npy,0.601740295
143_img_sli_009.npy,0.520278834
143_img_sli_010.npy,0.281047766
143_img_sli_011.npy,0.177302917
143_img_sli_012.npy,0.131881804
143_img_sli_013.npy,0.329231792
143_img_sli_014.npy,0.392139989
143_img_sli_015.npy,0.451110336
143_img_sli_016.npy,0.430933852
143_img_sli_017.npy,0.215058611
143_img_sli_018.npy,0.34490635
143_img_sli_019.npy,0.269814503
143_img_sli_020.npy,0.278325123
144_img_sli_000.npy,0.82616179
144_img_sli_003.npy,0.57518797
144_img_sli_004.npy,0.692533804
144_img_sli_005.npy,0.485061511
144_img_sli_006.npy,0.413311863
144_img_sli_008.npy,0.202682563
144_img_sli_009.npy,0
144_img_sli_010.npy,0.789106145
144_img_sli_011.npy,0.185117967
144_img_sli_012.npy,0.394339623
144_img_sli_013.npy,0.750166556
144_img_sli_015.npy,0.673300166
146_img_sli_000.npy,0.074020529
146_img_sli_001.npy,0.148422867
146_img_sli_002.npy,0.186898142
146_img_sli_003.npy,0.207144915
146_img_sli_005.npy,0.082945208
146_img_sli_006.npy,0.120111732
146_img_sli_007.npy,0.161586268
146_img_sli_009.npy,0.001523229
146_img_sli_010.npy,0.006196747
146_img_sli_012.npy,0.220338983
146_img_sli_013.npy,0.312710911
146_img_sli_014.npy,0.113667118
146_img_sli_017.npy,0.122687439
146_img_sli_019.npy,0.440528634
146_img_sli_020.npy,0.447632712
146_img_sli_021.npy,0
146_img_sli_022.npy,0
147_img_sli_001.npy,0.702341137
147_img_sli_002.npy,0.725080386
147_img_sli_003.npy,0.679017792
147_img_sli_004.npy,0.592983094
147_img_sli_005.npy,0.579796265
147_img_sli_007.npy,0.376613796
147_img_sli_008.npy,0.387443946
147_img_sli_010.npy,0.511983033
14_img_sli_001.npy,0.810581482
14_img_sli_002.npy,0.711069063
151_img_sli_002.npy,0.69540412
151_img_sli_004.npy,0.870594159
151_img_sli_006.npy,0.815903198
151_img_sli_007.npy,0.792198582
151_img_sli_008.npy,0.751318764
151_img_sli_009.npy,0.638448935
151_img_sli_010.npy,0.370999717
151_img_sli_012.npy,0.421670117
151_img_sli_013.npy,0.493983153
151_img_sli_014.npy,0.495072464
152_img_sli_002.npy,0.7933213
152_img_sli_003.npy,0.896117524
152_img_sli_004.npy,0.84502924
152_img_sli_005.npy,0.846869712
152_img_sli_008.npy,0.888708631
152_img_sli_010.npy,0.905491222
152_img_sli_011.npy,0.888914984
152_img_sli_012.npy,0.886061823
152_img_sli_014.npy,0.887492447
152_img_sli_015.npy,0.845673926
152_img_sli_018.npy,0.889797369
152_img_sli_019.npy,0.847652445
152_img_sli_021.npy,0.766148216
152_img_sli_023.npy,0.718464115
152_img_sli_024.npy,0.66344086
152_img_sli_026.npy,0.766949762
153_img_sli_001.npy,0.3738437
153_img_sli_002.npy,0.504354411
153_img_sli_004.npy,0.183333333
153_img_sli_005.npy,0.272895467
153_img_sli_006.npy,0.372455902
153_img_sli_008.npy,0.303923978
153_img_sli_009.npy,0.390546961
153_img_sli_010.npy,0.363219895
153_img_sli_012.npy,0.374503187
153_img_sli_013.npy,0.340526943
153_img_sli_014.npy,0.367807644
153_img_sli_015.npy,0.318141064
153_img_sli_017.npy,0.357747957
153_img_sli_018.npy,0.331356975
155_img_sli_000.npy,0.459981601
155_img_sli_002.npy,0.449957045
155_img_sli_004.npy,0.568971963
155_img_sli_005.npy,0.041960905
156_img_sli_000.npy,0.252404643
156_img_sli_002.npy,0.555354499
156_img_sli_004.npy,0.596117506
156_img_sli_005.npy,0.64556962
156_img_sli_006.npy,0.49385052
157_img_sli_002.npy,0.552808127
157_img_sli_003.npy,0.615513768
157_img_sli_009.npy,0.492593254
157_img_sli_010.npy,0.449773169
157_img_sli_011.npy,0.700741962
157_img_sli_012.npy,0.56232271
157_img_sli_016.npy,0.718099797
157_img_sli_019.npy,0.576708208
157_img_sli_020.npy,0.567640449
157_img_sli_022.npy,0.604957806
157_img_sli_024.npy,0.441964286
157_img_sli_025.npy,0.53573377
157_img_sli_027.npy,0.386523897
158_img_sli_000.npy,0.097560976
158_img_sli_001.npy,0.231372549
158_img_sli_002.npy,0.231197772
158_img_sli_003.npy,0.398162328
158_img_sli_005.npy,0.244120941
158_img_sli_006.npy,0.50867052
158_img_sli_007.npy,0.519230769
158_img_sli_009.npy,0.370433305
158_img_sli_011.npy,0.637279597
158_img_sli_013.npy,0.129436326
158_img_sli_014.npy,0.206060606
158_img_sli_015.npy,0
158_img_sli_016.npy,0.09009009
158_img_sli_017.npy,0
158_img_sli_018.npy,0.119122257
158_img_sli_019.npy,0
158_img_sli_020.npy,0
15_img_sli_000.npy,0.517043416
15_img_sli_002.npy,0.711202793
15_img_sli_003.npy,0.698158051
15_img_sli_004.npy,0.644749441
15_img_sli_005.npy,0.663871951
15_img_sli_006.npy,0.807174888
15_img_sli_007.npy,0.279869067
160_img_sli_000.npy,0.377440347
160_img_sli_001.npy,0.592592593
160_img_sli_002.npy,0.552706553
160_img_sli_004.npy,0.071856287
162_img_sli_000.npy,0.01875
162_img_sli_001.npy,0.338498212
162_img_sli_002.npy,0.279236277
162_img_sli_003.npy,0.103688933
162_img_sli_004.npy,0.514767932
162_img_sli_005.npy,0.587982833
163_img_sli_000.npy,0.023529412
163_img_sli_001.npy,0.254826255
163_img_sli_002.npy,0.217777778
163_img_sli_003.npy,0.474106492
163_img_sli_004.npy,0.52779953
163_img_sli_005.npy,0.487966805
163_img_sli_006.npy,0.326530612
163_img_sli_007.npy,0.489169675
163_img_sli_011.npy,0.304225352
163_img_sli_013.npy,0.50713686
163_img_sli_015.npy,0.532
163_img_sli_017.npy,0.216216216
165_img_sli_001.npy,0.340271493
165_img_sli_002.npy,0.512322629
165_img_sli_003.npy,0.684385382
165_img_sli_004.npy,0.48479583
165_img_sli_006.npy,0.782527881
166_img_sli_002.npy,0.45153434
166_img_sli_003.npy,0.271873455
166_img_sli_004.npy,0.367731797
167_img_sli_000.npy,0.580071174
167_img_sli_001.npy,0.61440678
167_img_sli_002.npy,0.545265349
167_img_sli_005.npy,0.595135908
167_img_sli_007.npy,0.770247934
168_img_sli_000.npy,0.011636581
168_img_sli_001.npy,0.420781451
168_img_sli_002.npy,0.5
168_img_sli_003.npy,0.077731092
16_img_sli_000.npy,0.151129944
16_img_sli_001.npy,0.238236541
16_img_sli_002.npy,0.465329513
16_img_sli_003.npy,0.051639106
16_img_sli_004.npy,0.622481442
16_img_sli_005.npy,0.512820513
170_img_sli_000.npy,0.349112426
170_img_sli_001.npy,0.746938776
170_img_sli_002.npy,0.684987977
170_img_sli_003.npy,0.134760206
170_img_sli_004.npy,0.49042368
170_img_sli_007.npy,0.013227513
171_img_sli_000.npy,0.143920596
171_img_sli_001.npy,0.276877761
171_img_sli_002.npy,0.763466042
171_img_sli_003.npy,0.298850575
171_img_sli_004.npy,0.560216509
171_img_sli_005.npy,0.677871148
171_img_sli_007.npy,0.550135501
171_img_sli_009.npy,0.418238994
174_img_sli_000.npy,0.635229444
174_img_sli_003.npy,0.683436017
174_img_sli_004.npy,0.745119506
174_img_sli_005.npy,0.706980123
174_img_sli_006.npy,0.721890882
174_img_sli_007.npy,0.634682095
174_img_sli_008.npy,0.656953832
174_img_sli_009.npy,0.584391897
174_img_sli_010.npy,0.791341131
174_img_sli_012.npy,0.731997751
174_img_sli_013.npy,0.641574276
174_img_sli_016.npy,0.609158127
174_img_sli_018.npy,0.645615944
174_img_sli_019.npy,0.773917799
174_img_sli_020.npy,0.74110342
174_img_sli_022.npy,0.59730492
174_img_sli_023.npy,0.527649701
174_img_sli_024.npy,0.778489925
174_img_sli_026.npy,0.593399581
174_img_sli_027.npy,0.326192122
174_img_sli_028.npy,0.446641156
174_img_sli_029.npy,0.547747748
174_img_sli_030.npy,0.227747389
175_img_sli_000.npy,0.553767993
175_img_sli_001.npy,0.378920954
175_img_sli_003.npy,0.506208214
176_img_sli_001.npy,0.501567398
176_img_sli_002.npy,0.557291667
178_img_sli_000.npy,0.491997045
178_img_sli_001.npy,0.355694228
178_img_sli_002.npy,0.407060121
178_img_sli_003.npy,0.310004294
178_img_sli_005.npy,0.676369863
178_img_sli_006.npy,0.404055033
178_img_sli_007.npy,0.407239819
178_img_sli_009.npy,0.495351926
179_img_sli_000.npy,0.812930902
179_img_sli_003.npy,0.836166692
179_img_sli_004.npy,0.791870236
179_img_sli_005.npy,0.125565952
17_img_sli_000.npy,0.497027348
17_img_sli_001.npy,0.693741678
17_img_sli_003.npy,0.438818565
17_img_sli_007.npy,0.469813392
17_img_sli_008.npy,0.397408207
17_img_sli_012.npy,0.214285714
17_img_sli_014.npy,0.318181818
17_img_sli_015.npy,0.630434783
17_img_sli_016.npy,0.676756757
17_img_sli_017.npy,0.494137353
17_img_sli_018.npy,0.450625869
17_img_sli_019.npy,0.467816576
17_img_sli_022.npy,0.672922252
17_img_sli_023.npy,0.447268107
17_img_sli_024.npy,0.079503106
17_img_sli_025.npy,0.099437148
17_img_sli_027.npy,0.627802691
17_img_sli_028.npy,0.650537634
17_img_sli_031.npy,0.501831502
17_img_sli_032.npy,0.076923077
17_img_sli_033.npy,0.48
17_img_sli_034.npy,0.295454545
17_img_sli_035.npy,0.225352113
17_img_sli_036.npy,0.109756098
180_img_sli_001.npy,0.659025788
180_img_sli_004.npy,0.600508906
180_img_sli_006.npy,0.551891368
180_img_sli_007.npy,0.729226361
180_img_sli_010.npy,0.486288848
180_img_sli_011.npy,0.331929233
180_img_sli_013.npy,0.52362949
181_img_sli_002.npy,0.46966046
181_img_sli_003.npy,0.43460522
181_img_sli_004.npy,0.438064859
181_img_sli_005.npy,0.440264216
181_img_sli_006.npy,0.366104484
181_img_sli_007.npy,0.139968369
181_img_sli_008.npy,0.146819733
181_img_sli_009.npy,0.250707692
181_img_sli_010.npy,0.223294509
181_img_sli_011.npy,0.186768309
181_img_sli_012.npy,0.145147314
182_img_sli_000.npy,0.3125
182_img_sli_001.npy,0.373408769
182_img_sli_002.npy,0.389553863
182_img_sli_003.npy,0.501775148
183_img_sli_000.npy,0.712041885
183_img_sli_002.npy,0.399582681
183_img_sli_003.npy,0.373461012
183_img_sli_005.npy,0.41256091
183_img_sli_006.npy,0.602131439
183_img_sli_008.npy,0.26657912
183_img_sli_010.npy,0.536473531
183_img_sli_011.npy,0.729634641
183_img_sli_013.npy,0.148648649
183_img_sli_014.npy,0.274229346
183_img_sli_015.npy,0.410125142
183_img_sli_016.npy,0.421823021
183_img_sli_017.npy,0.58522579
183_img_sli_018.npy,0.529422824
183_img_sli_019.npy,0.65234375
183_img_sli_020.npy,0.413441089
183_img_sli_022.npy,0.669252468
183_img_sli_023.npy,0.532338308
183_img_sli_024.npy,0.794662713
183_img_sli_025.npy,0.625250501
183_img_sli_026.npy,0.774786605
183_img_sli_027.npy,0.746861925
183_img_sli_028.npy,0.703216374
183_img_sli_029.npy,0.832605531
183_img_sli_030.npy,0.648366013
183_img_sli_031.npy,0.707229778
183_img_sli_032.npy,0.754761905
183_img_sli_033.npy,0.826221398
183_img_sli_034.npy,0.769574944
183_img_sli_035.npy,0.595959596
185_img_sli_000.npy,0.425431711
185_img_sli_002.npy,0.383349468
185_img_sli_003.npy,0.302064897
185_img_sli_004.npy,0.516853933
185_img_sli_005.npy,0.690612245
185_img_sli_006.npy,0.492524917
185_img_sli_008.npy,0.37965616
185_img_sli_009.npy,0.407152682
186_img_sli_000.npy,0.344711807
186_img_sli_001.npy,0.111017662
186_img_sli_004.npy,0.722540344
186_img_sli_006.npy,0.581005587
186_img_sli_007.npy,0.393442623
187_img_sli_002.npy,0.603550296
187_img_sli_003.npy,0
187_img_sli_004.npy,0.03992016
187_img_sli_006.npy,0.074011775
